Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Alexander Zverev,Dominic Thiem,7,3,23,26,"3,630","7,135",Finals,US Open,Hard,BO5,31/08/2020,0
Daniil Medvedev,Dominic Thiem,5,3,24,26,"5,890","7,135",Semi-Finals,US Open,Hard,BO5,31/08/2020,0
Pablo Carreno Busta,Alexander Zverev,27,7,29,23,"1,500","3,630",Semi-Finals,US Open,Hard,BO5,31/08/2020,0
Dominic Thiem,Alex de Minaur,3,28,26,21,"7,135","1,485",Quarter-Finals,US Open,Hard,BO5,31/08/2020,1
Andrey Rublev,Daniil Medvedev,14,5,22,24,"2,234","5,890",Quarter-Finals,US Open,Hard,BO5,31/08/2020,0
Borna Coric,Alexander Zverev,32,7,23,23,"1,355","3,630",Quarter-Finals,US Open,Hard,BO5,31/08/2020,0
Pablo Carreno Busta,Denis Shapovalov,27,17,29,21,"1,500","2,075",Quarter-Finals,US Open,Hard,BO5,31/08/2020,1
Pablo Carreno Busta,Novak Djokovic,27,1,29,33,"1,500","10,860",Round of 16,US Open,Hard,BO5,31/08/2020,1
Felix Auger-Aliassime,Dominic Thiem,21,3,20,26,"1,806","7,135",Round of 16,US Open,Hard,BO5,31/08/2020,0
Daniil Medvedev,Frances Tiafoe,5,82,24,22,"5,890",700,Round of 16,US Open,Hard,BO5,31/08/2020,1
Alejandro Davidovich Fokina,Alexander Zverev,99,7,21,23,627,"3,630",Round of 16,US Open,Hard,BO5,31/08/2020,0
Matteo Berrettini,Andrey Rublev,8,14,24,22,"2,940","2,234",Round of 16,US Open,Hard,BO5,31/08/2020,0
Denis Shapovalov,David Goffin,17,10,21,29,"2,075","2,555",Round of 16,US Open,Hard,BO5,31/08/2020,1
Vasek Pospisil,Alex de Minaur,94,28,30,21,642,"1,485",Round of 16,US Open,Hard,BO5,31/08/2020,0
Borna Coric,Jordan Thompson,32,63,23,26,"1,355",829,Round of 16,US Open,Hard,BO5,31/08/2020,1
Jan-Lennard Struff,Novak Djokovic,29,1,30,33,"1,405","10,860",Round of 32,US Open,Hard,BO5,31/08/2020,0
Dominic Thiem,Marin Cilic,3,38,26,31,"7,135","1,225",Round of 32,US Open,Hard,BO5,31/08/2020,1
Daniil Medvedev,J.J. Wolf,5,138,24,21,"5,890",402,Round of 32,US Open,Hard,BO5,31/08/2020,1
Borna Coric,Stefanos Tsitsipas,32,6,23,22,"1,355","5,095",Round of 32,US Open,Hard,BO5,31/08/2020,1
Alexander Zverev,Adrian Mannarino,7,39,23,32,"3,630","1,191",Round of 32,US Open,Hard,BO5,31/08/2020,1
Casper Ruud,Matteo Berrettini,37,8,21,24,"1,279","2,940",Round of 32,US Open,Hard,BO5,31/08/2020,0
Filip Krajinovic,David Goffin,26,10,28,29,"1,503","2,555",Round of 32,US Open,Hard,BO5,31/08/2020,0
Roberto Bautista Agut,Vasek Pospisil,11,94,32,30,"2,540",642,Round of 32,US Open,Hard,BO5,31/08/2020,0
Salvatore Caruso,Andrey Rublev,100,14,27,22,623,"2,234",Round of 32,US Open,Hard,BO5,31/08/2020,0
Alex de Minaur,Karen Khachanov,28,16,21,24,"1,485","2,120",Round of 32,US Open,Hard,BO5,31/08/2020,1
Denis Shapovalov,Taylor Fritz,17,25,21,22,"2,075","1,545",Round of 32,US Open,Hard,BO5,31/08/2020,1
Corentin Moutet,Felix Auger-Aliassime,77,21,21,20,722,"1,806",Round of 32,US Open,Hard,BO5,31/08/2020,0
Ricardas Berankis,Pablo Carreno Busta,65,27,30,29,809,"1,500",Round of 32,US Open,Hard,BO5,31/08/2020,0
Cameron Norrie,Alejandro Davidovich Fokina,76,99,25,21,727,627,Round of 32,US Open,Hard,BO5,31/08/2020,0
Jordan Thompson,Mikhail Kukushkin,63,90,26,32,829,661,Round of 32,US Open,Hard,BO5,31/08/2020,1
Marton Fucsovics,Frances Tiafoe,66,82,28,22,787,700,Round of 32,US Open,Hard,BO5,31/08/2020,0
Novak Djokovic,Kyle Edmund,1,44,33,25,"10,860","1,050",Round of 64,US Open,Hard,BO5,31/08/2020,1
Dominic Thiem,Sumit Nagal,3,124,26,23,"7,135",448,Round of 64,US Open,Hard,BO5,31/08/2020,1
Christopher O'Connell,Daniil Medvedev,116,5,26,24,498,"5,890",Round of 64,US Open,Hard,BO5,31/08/2020,0
Maxime Cressy,Stefanos Tsitsipas,168,6,23,22,320,"5,095",Round of 64,US Open,Hard,BO5,31/08/2020,0
Alexander Zverev,Brandon Nakashima,7,223,23,19,"3,630",229,Round of 64,US Open,Hard,BO5,31/08/2020,1
Ugo Humbert,Matteo Berrettini,42,8,22,24,"1,111","2,940",Round of 64,US Open,Hard,BO5,31/08/2020,0
Lloyd Harris,David Goffin,95,10,23,29,641,"2,555",Round of 64,US Open,Hard,BO5,31/08/2020,0
Roberto Bautista Agut,Miomir Kecmanovic,11,47,32,21,"2,540","1,028",Round of 64,US Open,Hard,BO5,31/08/2020,1
Gregoire Barrere,Andrey Rublev,93,14,26,22,647,"2,234",Round of 64,US Open,Hard,BO5,31/08/2020,0
Andrey Kuznetsov,Karen Khachanov,,16,,24,,"2,120",Round of 64,US Open,Hard,BO5,31/08/2020,0
Soonwoo Kwon,Denis Shapovalov,73,17,22,21,742,"2,075",Round of 64,US Open,Hard,BO5,31/08/2020,0
Mikhail Kukushkin,Cristian Garin,90,19,32,24,661,"1,900",Round of 64,US Open,Hard,BO5,31/08/2020,1
Marton Fucsovics,Grigor Dimitrov,66,20,28,29,787,"1,885",Round of 64,US Open,Hard,BO5,31/08/2020,1
Felix Auger-Aliassime,Andy Murray,21,115,20,33,"1,806",502,Round of 64,US Open,Hard,BO5,31/08/2020,1
Gilles Simon,Taylor Fritz,52,25,35,22,970,"1,545",Round of 64,US Open,Hard,BO5,31/08/2020,0
Mitchell Krueger,Pablo Carreno Busta,198,27,26,29,264,"1,500",Round of 64,US Open,Hard,BO5,31/08/2020,0
Alex de Minaur,Richard Gasquet,28,51,21,34,"1,485",985,Round of 64,US Open,Hard,BO5,31/08/2020,1
Corentin Moutet,Daniel Evans,77,31,21,30,722,"1,384",Round of 64,US Open,Hard,BO5,31/08/2020,1
Hubert Hurkacz,Alejandro Davidovich Fokina,33,99,23,21,"1,353",627,Round of 64,US Open,Hard,BO5,31/08/2020,0
Vasek Pospisil,Milos Raonic,94,18,30,29,642,"1,950",Round of 64,US Open,Hard,BO5,31/08/2020,1
Filip Krajinovic,Marcos Giron,26,96,28,27,"1,503",639,Round of 64,US Open,Hard,BO5,31/08/2020,1
Borna Coric,Juan Ignacio Londero,32,62,23,27,"1,355",832,Round of 64,US Open,Hard,BO5,31/08/2020,1
